Depth 	 PHIT 	 BVO 	 Pd1 	 Pd2 	 	 G1 	 G2 	 BV1 	 BV2 	 Perm
8445.0 	 0.04 	 0.0 	 1116.0 	 650 	 	 1.65 	 0.1 	 13.4 	 0 	 0.14
8445.5 	 0.04 	 0.0 	 952.0 	 650 	 	 3.6 	 0.1 	 19.8 	 0 	 0.1
8446.0 	 0.03 	 0.0 	 130.0 	 650 	 	 3.27 	 0.1 	 14.5 	 0 	 0.01
8446.5 	 0.04 	 0.0 	 72.0 	 650 	 	 7.07 	 0.1 	 29.1 	 0 	 0.02
8447.0 	 0.04 	 0.0 	 111.0 	 650 	 	 4.17 	 0.1 	 18.1 	 0 	 0.01
8447.5 	 0.04 	 0.0 	 381.0 	 650 	 	 5.05 	 0.1 	 22.4 	 0 	 0.04
8448.0 	 0.04 	 0.0 	 126.0 	 650 	 	 3.71 	 0.1 	 16.4 	 0 	 0.01
8448.5 	 0.03 	 0.0 	 134.0 	 650 	 	 2.93 	 0.1 	 13.1 	 0 	 0.01
8449.0 	 0.03 	 0.0 	 134.0 	 650 	 	 2.93 	 0.1 	 13.1 	 0 	 0.01
8449.5 	 0.02 	 0.0 	 215.0 	 650 	 	 1.7 	 0.1 	 8.2 	 0 	 0.01
8450.0 	 0.02 	 0.0 	 235.0 	 650 	 	 2.06 	 0.1 	 9.7 	 0 	 0.01
8450.5 	 0.02 	 0.0 	 235.0 	 650 	 	 2.06 	 0.1 	 9.7 	 0 	 0.01
8451.0 	 0.01 	 0.0 	 409.0 	 650 	 	 3.66 	 0.1 	 16.9 	 0 	 0.02
8451.5 	 0.02 	 0.0 	 329.0 	 650 	 	 3.96 	 0.1 	 17.8 	 0 	 0.02
8452.0 	 0.02 	 0.0 	 1014.0 	 650 	 	 3.65 	 0.1 	 20.2 	 0 	 0.1
8452.5 	 0.02 	 0.0 	 1205.0 	 650 	 	 1.86 	 0.1 	 14.4 	 0 	 0.16
8453.0 	 0.02 	 0.0 	 616.0 	 650 	 	 4.06 	 0.1 	 19.4 	 0 	 0.06
8453.5 	 0.02 	 0.0 	 589.0 	 650 	 	 4.09 	 0.1 	 19.4 	 0 	 0.06
8454.0 	 0.02 	 0.0 	 579.0 	 650 	 	 4.1 	 0.1 	 19.4 	 0 	 0.06
8454.5 	 0.02 	 0.0 	 970.0 	 650 	 	 3.78 	 0.1 	 20.5 	 0 	 0.09
8455.0 	 0.04 	 0.0 	 74.0 	 650 	 	 5.89 	 0.1 	 24.8 	 0 	 0.02
8455.5 	 0.07 	 0.0 	 463.0 	 650 	 	 0.36 	 0.1 	 7.4 	 0 	 0.2
8456.0 	 0.11 	 0.04 	 161.0 	 650 	 	 0.41 	 0.1 	 15.2 	 0 	 0.25
